"Video Gaming Licensed Applicants",
"License Name","d/b/a","Address","City","State","Zip","County","License Number","License Type","Status Date",
"Christina Fred","The Wet Spot","13 S. Mulberry St.","Du Quoin","IL","62832","Perry","120708397","Establishment","06/20/2013",
"Christine Ann Amerman","Veteran's Pub & Pizza","2525 N.E. Adams St.","Peoria","IL","61603","Peoria","130703485","Establishment","01/15/2014",
"Christopher Columbian Club","Christopher Columbian Club","109  N. State St.","Christopher","IL","62822","Franklin","130705295","Establishment","02/26/2014",
"Christopher Vandersnick","Front Street Tap","319 W. Front St.","Annawan","IL","61234","Henry","120710708","Establishment","07/18/2013",
"Christopher's Speakeasy, LLC","Christopher's Speakeasy","1929 S Mannheim Road","Westchester","IL","60154","Cook","130706216","Establishment","02/26/2014",
"CHRISTOS & KOSTAS, INC.","Sneaker's Sports Bar & Grill","9721 West Grand Ave","Franklin Park","IL","60131","Cook","120709251","Establishment","05/23/2013",
"Christy's Place, Inc.","Christy's Place","1221 Peoria St.","Washington","IL","61571","Tazewell","120706287","Establishment","02/21/2013",
"Chronister Oil Company","QIK-N-EZ","301 S. Poplar Street","Pana","IL","62557","Christian","150704460","Establishment","02/22/2017",
"Chubby Bullfrog Bar and Grill, LLC","Chubby Bullfrog Bar and Grill","1494 Springhill Mall","West Dundee","IL","60118","Kane","170703234","Establishment","01/09/2018",
"CHUBZ PUB & GRUB LLC","Chubz Pub & Grub LLC","120 E Main St","Warren","IL","61087","Jo Daviess","180704236","Establishment","04/18/2019",
"Chuck's Bar & Grill LLC","Chucks Bar & Grill","47W739 Rt 64","Virgil","IL","60151","Kane","130703784","Establishment","11/21/2013",
"CHUCK'S SOUTHERN COMFORTS CAFE AND BANQUETS, INC.","Chuck's Southern Comfort Cafe","8025 S. Cass Ave","Darien","IL","60561","Dupage","130703640","Establishment","11/21/2013",
"CHUCK'S SOUTHERN COMFORTS CAFE, INC.","Chuck's Southern Comfort Cafe","6501 W. 79th St","Burbank","IL","60459","Cook","130703641","Establishment","11/21/2013",
"CHUCKIE'S INCORPORATED","THE DOCK","1021 BONANSINGA DRIVE","QUINCY","IL","62301","Adams","130700226","Establishment","10/24/2013",
"CHUI'ES SNACK SHOP, INC.","PATIO SNACK SHOP","1585 Monmouth Blvd","Galesburg","IL","61401","Knox","120700338","Establishment","12/20/2012",
"Chullo Enterprises, L.L.C.","Mongo McMichaels","1101 N Independence Blvd ","Romeoville","IL","60446","Will","120705200","Establishment","01/24/2013",
"Cicero Citgo, Inc.","12th St. BP","5737 W. Roosevelt Rd.","Cicero","IL","60804","Cook","180703645","Establishment","01/30/2019",
"CIESLA WINE & SPIRITS, INC.","STADIUM LIQUORS","5641 W 79TH ST","BURBANK","IL","60459","Cook","160700523","Establishment","01/26/2017",
"CILEE VENTURES LLC","BENDERZ","400 West Jefferson Street","Auburn","IL","62615","Sangamon","180704257","Establishment","01/30/2019",
"Cimino's Ristorante & Pizzeria, Inc.","Cimino's Ristorante & Pizzeria, Inc.","407 N. Center St. PO BOX 551","Durand","IL","61024","Winnebago","170702504","Establishment","09/21/2017",
"Cimino's, Inc.","Cimino's Little Italy","421 Challenge","Freeport","IL","61032","Stephenson","120700661","Establishment","12/20/2012",
"Ciminos III, Inc.","Ciminos Pizza","119 E 4th St","Pecatonica","IL","61063","Winnebago","120704787","Establishment","03/20/2013",
"Cindy Galinis","Tiny's Place","728 Bainbridge Street","Barry","IL","62312","Pike","150700012","Establishment","03/26/2015",
"Cindy's Corner Pub, Inc.","Cindy's Corner Pub","309 N Main Street","Roanoke","IL","61561","Woodford","170703620","Establishment","01/09/2018",
"CINDY'S COUNTRY KITCHEN, LLC","Cindy's Gaming & Pub ","2517 IL ROUTE 16 ","Pana","IL","62557","Christian","130703901","Establishment","12/19/2013",
"Cindy's on 39, Inc.","Cindy's on 39","100 N Lewis Avenue","Oglesby","IL","61348","La Salle","180702765","Establishment","11/02/2018",
"Circle II, Inc.","Circle II","503 West Cleveland","Heyworth","IL","61745","McLean","150700073","Establishment","03/26/2015",
"CIROMIKE INC.","HILLTOP LOUNGE","25944 W. Rollins Rd.","Ingleside","IL","60041","Lake","140703628","Establishment","04/23/2015",
"City of Blue Island","The Meadows Golf Club","2802 W 123RD ST","Blue Island","IL","60406","Cook","120708327","Establishment","02/26/2014",
"City of Breese","Bent Oak Golf Course Club House","1725 S Broadway","Breese","IL","62230","Clinton","170700738","Establishment","06/28/2017",
"City of Countryside","Flagg Creek Golf Course","6939 Wolf Road","Countryside","IL","60525","Cook","150700928","Establishment","11/06/2015",
"City Tavern, Inc.","City Tavern","367 S. West Ave.","Kankakee","IL","60901","Kankakee","120712963","Establishment","09/19/2013",
"City-Weid Inc.","The Little Nugget","6 S Henning","Danville","IL","61832","Vermilion","140702958","Establishment","08/21/2014",
"CJ BUGGY INCORPORATED","GOLD CADILLAC","5535 W. 22nd Place","Cicero","IL","60804","Cook","130703718","Establishment","03/27/2014",
"CJ'S GAMING, LLC","CJ'S GAMING","1406B SYCAMORE RD","DEKALB","IL","60115","Dekalb","160700504","Establishment","06/02/2016",
"CJCD, LLC","JACKPOTS","110 E. Hickory St.","Streator","IL","61364","La Salle","170701770","Establishment","09/21/2017",
"CJH Holdings, LLC","Lucky Jack's Kitchen & Lounge","408 W Johnson St.","Pocahontas","IL","62275","Bond","180701940","Establishment","01/30/2019",
"CJMS, INC.","Tuscan Sun Wine & Spirits","107 W. Oak Knoll Drive","Hampshire","IL","60140","Kane","160700766","Establishment","01/26/2017",
"CK & A of Rockton Inc.","Lucky Dogs Rockton","625 N Blackhawk Blvd.","Rockton","IL","61072","Winnebago","190700890","Establishment","06/13/2019",
"CKEM, Inc.","Tiny's Tavern","602 N. Main","Columbia","IL","62236","Monroe","130702712","Establishment","02/26/2014",
"CLACK STONE, INC.","Small Town Saloon","111 N. Main Street","Elizabeth","IL","61028","Jo Daviess","140703786","Establishment","04/23/2015",
"CLAIRE'S CAFE, LLC","CLAIRE'S CAFE","101 N. MISSOURI AVE.","SALEM","IL","62881","Marion","150701621","Establishment","09/22/2015",
"CLAM 1, INC.","COUNTRY CLUB BBQ","2510 WEST FARMINGTON ROAD","WEST PEORIA","IL","61604","Peoria","150701622","Establishment","01/28/2016",
"CLANCYS OAK LAWN LTD.","CLANCY'S OAK LAWN","4624 WEST 103RD STREET","OAK LAWN","IL","60453","Cook","130704952","Establishment","12/19/2013",
"Clarks Run Antiques, Inc.","Clarks Run Creek Gifts and Wine","143 Mill St","North Utica","IL","61373","La Salle","170702438","Establishment","02/09/2018",
"Clasen's Tavern Union LLC","Clasens Tavern","17628 Depot St. ","Union","IL","601809707","Mchenry","180702932","Establishment","06/13/2019",
"Claudette E. Magnoni","Claudette's","253 E Walnut St","Oglesby","IL","61348","La Salle","130704278","Establishment","12/19/2013",
"Clawson Sedam, Inc.","Clawson Sedam, Inc.","409 West Center Street","Joy","IL","61260","Mercer","150701978","Establishment","02/22/2017",
"Claygames, Inc.","Darcy's Cafe & Slots","200 N Highland Street","Creve Coeur","IL","61610","Tazewell","160700160","Establishment","04/21/2016",
"Claygames, Inc.","Darcy's Cafe & Slots II","401B Radio City  Dr","North Pekin","IL","61554","Tazewell","160701379","Establishment","06/02/2016",
"Claygames, Inc.","DARCY'S CAFE & SLOTS III","2603 W FARMINGTON ROAD UNIT 2","WEST PEORIA","IL","61604","Peoria","180703717","Establishment","01/30/2019",
"Claygames, Inc.","DARCY'S CAFE & SLOTS IV","1310 Derby Street","PEKIN","IL","61554","Tazewell","190702504","Establishment","11/07/2019",
"Clayton's Tap Inc.","Clayton's Tap","122 West Washington St.","Morris","IL","60450","Grundy","120700377","Establishment","08/16/2012",
"CLD Investment Service Corp.","Blissful Banana Cafe","15447 S 94th AVE","Orland Park","IL","60462","Cook","180702931","Establishment","11/02/2018",
"Clifford's Pub, Inc.","Clifford's Pub","1503 N. Rand Rd.","Palatine","IL","60074","Cook","180702769","Establishment","12/12/2018",
"Clifton Terrace Inn, LLC","Clifton Terrace Inn","4922 CLIFTON TERRACE RD","Godfrey","IL","62035","Madison","190700264","Establishment","06/13/2019",
"Clint D Williams","Chevies Lounge","913 W Monroe St","Herrin","IL","62948","Williamson","120704424","Establishment","12/20/2012",
"Clinton W Casford & Charles W Casford III","The Junction","901 W IL HWY 29","Depue","IL","61322","Bureau","120703518","Establishment","04/18/2013",
"CLM CUISINE CORP.,","YE'S CHINESE FOOD","934 W Army Trail Rd","Carol Stream","IL","60188","Dupage","170700745","Establishment","06/13/2018",
"CLODDAGH INC.","The Irish Mill Inn","26592 N Hwy 83","Mundelein","IL","60060","Lake","130704613","Establishment","12/19/2013",
"Clover Club DDG, Inc.","Clover Club","105 E Hennepin Street","Mark","IL","61340","Putnam","140700505","Establishment","04/30/2014",
"Clover Restaurant Group LLC","Shamrocks Cafe","7840 Ogden Ave.","Lyons","IL","60534","Cook","150700580","Establishment","05/28/2015",
"CLOVERLEAF GOLF COURSE, INC.","CLOVERLEAF GOLF COURSE","3555 Fosterburg Rd","Alton","IL","62002","Madison","140702622","Establishment","11/20/2014",
"Club 30, LLC","Jag's Bar","481 N Schuyler Ave","Kankakee","IL","60901","Kankakee","150703554","Establishment","12/16/2015",
"CLUB 390 CORP","CLUB 390","390 E. JOE ORR ROAD","CHICAGO HEIGHTS","IL","60411","Cook","140703501","Establishment","04/23/2015",
"Club 41 LLC","Club 41","51 Monroe St","St. Augustine","IL","61474","Knox","150703729","Establishment","01/28/2016",
"Club 520 Corp.","AL'S 520 CLUB","520 Madison Ave","Madison","IL","62060","Madison","180703245","Establishment","04/18/2019",
"Club Cabaret, Inc.","Club Cabaret","1047 N. Main St.","Creve Coeur","IL","61610","Tazewell","120701420","Establishment","12/20/2012",
"Club Escapade Inc.","Club Escapade","133 W Main Street","Belleville","IL","62226","St. Clair","130700738","Establishment","10/24/2013",
"Club Exit 41, Inc.","Club Exit 41 Inc.","15002 Hen House Rd","Okawville","IL","62271","Washington","160703595","Establishment","12/14/2016",
"Club Krave LLC","Club Krave","13126 S. Western Ave","Blue Island","IL","60406","Cook","120709588","Establishment","05/23/2013",
"Club Seven, Inc.","Club Phoenix II","4206 Pfeiffer Road","Bartonville","IL","61607","Peoria","120708294","Establishment","04/18/2013",
"CLUB TEMULAC","CLUB TEMULAC","777 GREEN BAY ","CALUMET CITY","IL","60409","Cook","130706625","Establishment","03/27/2014",
"CLUB WEST OF QUINCY, INC","THE CLUB","1023 NORTH 10TH STREET","QUINCY","IL","62301","Adams","120709105","Establishment","06/20/2013",
"CMCPM ENTERPRISES INC.","Party Hut","500 W. 10th Street","Metropolis","IL","62960","Massac","150701827","Establishment","01/26/2017",
"CMI FIVE LLC","BILLY BAROOZ","2521 VILLAGE GREEN PLACE","CHAMPAIGN","IL","61822","Champaign","120704067","Establishment","07/18/2013",
"CMS ENTERTAINMENT, INC.","THE ENTRANCE","15101 DIXIE HIGHWAY","HARVEY","IL","60426","Cook","160704006","Establishment","02/22/2017",
"CMS2 Inc.","Westside Pub","1137 W. Main Street","Ottawa","IL","61350","La Salle","140701069","Establishment","05/29/2014",
"CMT XII Inc.","Barrelhouse 34","34 E. Main Street","Champaign","IL","61820","Champaign","150704406","Establishment","03/04/2016",
"CNHINTERSCHER, Inc.","Floyd's Place","134 S. Range Street","Oblong","IL","62449","Crawford","120700493","Establishment","01/24/2013",
"CNT Inc. Decatur","Harley's Hideout","130 E. Main Street","Dalton City","IL","61925","Moultrie","120712056","Establishment","09/19/2013",
"COACH'S CORNER INC.","COACH'S CORNER","152 Biesterfield Rd.","Elk Grove Village","IL","60007","Cook","160700195","Establishment","11/03/2016",
"Coaches Bar, Inc.","Coaches Sports Bar & Grill","14650 Waverly Avenue","Midlothian","IL","60445","Cook","120706960","Establishment","03/20/2013",
"COBETTO'S, INCORPORATED","Cobetto's Tap","518 East Main Street","Taylor Springs","IL","62089","Montgomery","120702267","Establishment","09/20/2012",
"Coffee Can 7, LLC","Club Tiki","3500 Sunset Ave.","Waukegan","IL","60087","Lake","140704317","Establishment","04/23/2015",
"Coffee Something Inc.","Green Star","7701 W. Belmont Ave.","Elmwood Park","IL","60707","Cook","170704126","Establishment","08/02/2018",
"COFFEY RESTAURANTS, INC.","PAPA FRANK'S","4111 Wabash Avenue","Springfield","IL","62711","Sangamon","150701571","Establishment","07/23/2015",
"COKO Services, Inc.","Rock City Tap","106 Main Street","Rock City","IL","61070","Stephenson","120704249","Establishment","01/24/2013",
"Colatorti, Inc.","Cucina Bella","220 S Main St","Algonquin","IL","60102","Mchenry","180702263","Establishment","12/12/2018",
"Cold Cut Blackstone, Inc.","Blackstone Cafe","8535 W Grand Ave ","River Grove ","IL","60171","Cook","140703133","Establishment","10/27/2014",
"COLD DOG SOUP INC.","PARK INN","30 E Main Street ","Round Lake Park","IL","60073","Lake","180703205","Establishment","04/18/2019",
"Coleman Unlimited Inc.","Tazewell Festival Center","1010 N. Main St.","Creve Coeur","IL","61610","Tazewell","160700099","Establishment","04/21/2016",
"COLEMANS CRYSTAL LAKE, INC.","COLEMANS CRYSTAL LAKE","7608 S. Virginia Road","Crystal Lake","IL","60014","McHenry","160701323","Establishment","08/31/2016",
"Coles Corner Tap, Inc.","Cole's Corner Tap","1227 N.E. Adams","Peoria","IL","61606","Peoria","120706983","Establishment","01/24/2013",
"Colfax Bar + Grill Inc.","Colfax Bar & Grill","109 E. Main St","Colfax","IL","61728","Mclean","150700057","Establishment","03/26/2015",
"COLLINSVILLE RECREATION CLUB","COLLINSVILLE RECREATION CLUB","427 S Mulberry Rd","Collinsville","IL","62234","Madison","170702728","Establishment","11/16/2017",
"Colombi Enterprises, Inc. ","C.J.'s","300 East State Street","Rockford","IL","61104","Winnebago","120707213","Establishment","03/20/2013",
"Colona Slot Spot, LLC","Colona Slot Spot","302 1st Ave.","Colona","IL","61241","Henry","180701723","Establishment","09/14/2018",
"Colonial Pantry Holdings, LLC","Village Pantry #5207","401 N. Market St.","Ogden","IL","61859","Champaign","170700995","Establishment","08/24/2017",
"Columbia City Saloon, Inc.","Columbia City Saloon, Inc.","1101 Valmeyer rd.","columbia","IL","62236","Monroe","170704331","Establishment","02/09/2018",
"Columbian Association of Breese","Columbian Association of Breese","480 North Walnut","Breese","IL","62230","Clinton","120713095","Establishment","04/30/2014",
"Columbian Club of Carlyle, Illinois","Columbian Club","1471 Fairfax ","Carlyle","IL","62231","Clinton","120702203","Establishment","12/19/2013",
"Columbian Club of Lansing","Columbian Club of Lansing","17800 Lorenz Avenue","Lansing","IL","60438","Cook","120711529","Establishment","02/26/2014",
"Columbian Club of Pinckneyville","K of C Columbian Club","312 North Gordon Street","Pinckneyville","IL","62274","Perry","140710728","Establishment","05/29/2014",
"Columbus Building Association","Columbus Building Association","210 S. Pearl St.","Teutopolis","IL","62467","Effingham","170701111","Establishment","08/24/2017",
"Columbus Club of Decatur","KC Hall","520 E. North St.","Decatur","IL","62523","Macon","120709294","Establishment","01/15/2014",
"Columbus Club of Millstadt, Illinois, Inc.","Columbus Club of Millstadt, Illinois, Inc.","114 West Oak Street","Millstadt","IL","62260","St. Clair","120705360","Establishment","03/27/2014",
"COLUMBUS HOME ASSOCIATION OF QUINCY, INC.","COLUMBUS HOME ASSOCIATION OF QUINCY","700 SOUTH 36TH","QUINCY","IL","62301","Adams","150704467","Establishment","03/04/2016",
"COMASE, Inc.","The Stanford Mansion","1520 Stanford","Springfield","IL","62703","Sangamon","140700749","Establishment","06/26/2014",
"COMBAG CORPORATION","CHEERS RESTAURANT","4660 WEST 147th STREET","MIDLOTHIAN","IL","60445","Cook","170700658","Establishment","04/21/2017",
"COMJ ENTERPRISES LLC","Court Street Pub","620 Court Street","Ottawa","IL","61350","La Salle","180702346","Establishment","11/02/2018",
"Commodore Barry Post No. 256, Illinois Department of the American Legion","Commodore Barry Post # 256","6919 W Roosevelt Rd","Berwyn","IL","60402","Cook","120713099","Establishment","04/30/2014",
"CONCORDIA HALL, INC.","CONCORDIA HALL","709 S Union St","Staunton","IL","62088","Macoupin","140703544","Establishment","03/26/2015",
"CONNIE'S & GIANNIS, INC.","Connies Family Restaurant","3271 S. Harlem Ave.","Berwyn","IL","60402","Cook","130701991","Establishment","10/24/2013",
"CONNOR'S CORNER PUB, INC.","CONNOR'S CORNER PUB","100  West Main","Tallula","IL","62688","Menard","160703897","Establishment","01/26/2017",
"CONRAD'S, LLC","CONRAD'S ","705 N 7TH ST ","RIVERTON","IL","62561","Sangamon","120711912","Establishment","09/19/2013",
"CONROC, INC.","POST GAME PUB & SEDONA GRILLE","9630 WILLOW LANE","MOKENA","IL","60448","Will","120710710","Establishment","09/19/2013",
"Consignments and More, Inc.","Winnie's Loose Moose","1450 N. Hobbie Ave","Kankakee","IL","60901","Kankakee","120711868","Establishment","06/02/2016",
"COOKIES A LA CARTE, INCORPORATED","OLDE SALEM CAFE","7213 Olde Salem Circle","Hanover Park","IL","60133","Cook","190701359","Establishment","09/16/2019",
"COOL CASH INC.","LACEY'S PLACE","6 E MERCHANTS DR","OSWEGO","IL","60543","Kendall","170703343","Establishment","09/14/2018",
"COOL CAT L.L.C.","Jokers","1628 Georgetown Road","Tilton","IL","61883","Vermilion","170702119","Establishment","08/24/2017",
"COOL CAT L.L.C.","Jokers Wild","3007 Georgetown Road","Belgium","IL","61883","Vermilion","160701408","Establishment","01/26/2017",
"COOL CAT L.L.C.","COOL CAT VIDEO SLOTS","519 Spelter Avenue","Danville","IL","61832","Vermilion","190701613","Establishment","08/08/2019",
"Cop Brothers, LLC","Hunny's","22400 Lost Acres Rd","Olive Branch","IL","62969","Alexander","180702272","Establishment","01/30/2019",
"Copper Barrel Inc.","Copper Barrel on State","172 S. State St.","Hampshire","IL","60140","Kane","180703012","Establishment","11/02/2018",
"Copperhead Tavern, Inc.","Copperhead Tavern, Inc.","24266 State Highway 96","New Canton","IL","62356","Pike","140702128","Establishment","06/26/2014",
"CORDIAL INN, INC.","Cordial Inn","9207 w 31st ","Brookfield","IL","60513","Cook","120704494","Establishment","10/18/2012",
"Corey Gillam","George's Pub","118 Front Street","East Carondelet","IL","62240","St. Clair","150702829","Establishment","11/06/2015",
"Cork 'N Keg Inc.","Cork 'N Keg","123 East Main Cross","Taylorville","IL","62568","Christian","120707302","Establishment","12/20/2012",
"Cork, LLC","Cork Wine Bar","2302 Essington Rd","Joliet ","IL","60435","Will","180703059","Establishment","04/18/2019",
"Corks by the River LLC","Corks by the River","324 West Main Street","Havana","IL","62644","Mason","190701489","Establishment","08/08/2019",
"Corkscrew Pointe , Inc.","Corkscrew Pointe","1402 N Riverside Drive","McHenry","IL","60050","Mchenry","120700171","Establishment","09/20/2012",
"CORN CRIB OF NEWMAN, LLC","CORN CRIB OF NEWMAN","107 E. Yates Street","Newman","IL","61942","Douglas","170701381","Establishment","06/28/2017",
"Corn, Inc.","The Keg Tavern","924 15th Ave","East Moline","IL","61244","Rock Island","120710048","Establishment","06/20/2013",
"CORNER CLUBHOUSE BAR AND GRILL, INC.","SHANAHAN'S FOODS & SPIRITS OF WOODRIDGE","1999 W. 75TH STREET","WOODRIDGE","IL","60517","Dupage","150702265","Establishment","08/25/2015",
"Corner Connection, Inc.","Corner Connection","208 E. Simmons","Galesburg","IL","61401","Knox","120705655","Establishment","12/20/2012",
"Corner Cooler, LLC","Corner Cooler, LLC","101 W. Herrin Rd","Colp","IL","62921","Williamson","190700600","Establishment","06/13/2019",
"Corner Enterprises Inc.","The Corner Tap","128 N Main Street","STOCKTON","IL","61085","Jo Daviess","120704342","Establishment","12/20/2012",
"Corner Gas Station, LLC","Corner Gas Station","1250 W South Side Dr.","Decatur","IL","62521","Macon","170700065","Establishment","03/23/2017",
"CORNETT'S CHANA TAP, LLC","CORNETT'S CHANA TAP","104 N. Center Ave.","Chana","IL","61015","Ogle","190701975","Establishment","09/16/2019",
"Corninvestabulls, Inc","Hey Bryans","1140 15th Ave","East Moline","IL","61244","Rock Island","120702224","Establishment","10/18/2012",
"Cortilenos, LLC","Cortilenos, LLC","131 E. Walnut Street","Oglesby","IL","61348","La Salle","170702205","Establishment","09/21/2017",
"CORVETTE USA COOP, INC.","Coop Bar & Grill","12713 Calumet Sag Rd","Crestwood","IL","60418","Cook","140702888","Establishment","04/23/2015",
"CORY'S PUB & GRUB, INC.","CORY'S PUB & GRUB","203 CARVER STREET","WINSLOW","IL","61089","Stephenson","140701299","Establishment","06/26/2014",
"Cosmic Entertainment Complex LLC","Cosmic Entertainment Complex LLC","113 N. Williams Industrial Drive","Pittsfield","IL","62363","Pike","180703496","Establishment","11/02/2018",
"Cosmos Sports Bar & Entertainment LLC","Cosmos Sports Bar","421 W Liberty St","Wauconda","IL","60084","Lake","170700511","Establishment","05/25/2017",
"COTTAGE HILLS BAR & GRILL LLC","COTTAGE HILLS BAR & GRILL LLC","132 W MACARTHUR DR","Cottage Hills","IL","62018","Madison","180704072","Establishment","01/30/2019",
"Cottage Inn, Inc.","Cottage Inn","927 North Macarthur","Springfield","IL","62702","Sangamon","120706678","Establishment","05/23/2013",
"Country Club of Sparta, Illinois","Sparta Country Club","19 Fairway Drive","Sparta","IL","62286","Randolph","120706465","Establishment","05/29/2014",
"Country Haven Event Center Inc.","Country Haven Event Center Inc.","8560 E 1400th Ave","Effingham","IL","62401","Effingham","170702265","Establishment","08/24/2017",
"Country Kettle Inc.","Country Kettle Restaurant and Lounge","810 S. Sangamon","Gibson City","IL","60936","Ford","120709656","Establishment","05/23/2013",
"Country Line, LLC","Country Line","725 West Locust Street","Canton","IL","61520","Fulton","190702454","Establishment","11/07/2019",
"Country Squire of Hudson, Inc.","Country Squire","207 Front Street","Hudson","IL","61748","Mclean","120700455","Establishment","07/19/2012",
"COUNTRYSIDE RESTAURANT CORP.","CAFE SALSA","9932 W 55TH ST.","COUNTRYSIDE","IL","60525","Cook","160700410","Establishment","04/21/2016",
"COUNTY 5 LLC","COUNTY 5","111 MAIN STREET","BULPITT","IL","62517","Christian","180702582","Establishment","09/14/2018",
"County Line Smokehouse, Inc.","Smokehouse","761 North Main Street","Pierron","IL","62275","Madison","120705730","Establishment","12/20/2012",
"Coupe's Bar & Grill, Inc.","Coupe's Bar & Grill","101 S. Viking Vie","Lee","IL","60530","Lee","120706941","Establishment","03/20/2013",
"COURTHOUSE PUB INC.","COURTHOUSE PUB INC.","101 S MAIN ","HILLSBORO","IL","62049","Montgomery","130703487","Establishment","11/21/2013",
"COURTRIGHT'S GUESTHOUSE INC.","JEN'S GUESTHOUSE","8989 ARCHER AVENUE","WILLOW SPRINGS","IL","60480","Cook","160703602","Establishment","12/14/2016",
"Cousin Eddies Incorporated","Cousin Eddies","1951 W Monroe","Springfield","IL","62704","Sangamon","120710677","Establishment","08/22/2013",
"COW TIPPERS FRONT STREET TAP, INC.","Front Street Tap","106 EAST FRONT STREET","Harvard","IL","60033","Mchenry","120700530","Establishment","12/20/2012",
"Coz's Pizza, Inc.","JT Costelloe's Pizza Pub & Grill","7024 Kingsmill Ct.","Springfield","IL","62711","Sangamon","120706484","Establishment","11/15/2012",
"Coz's Pizza, Inc.","JT COSTELLOE'S PIZZA PUB GRILL","518 N. Bruns St.","Springfield","IL","62702","Sangamon","160701026","Establishment","04/21/2016",
"Crabby's Pub, Incorporated","Crabby's Pub","6429 W. Pershing","Stickney","IL","60402","Cook","120701416","Establishment","08/16/2012",
"Craden C235 W Broadway, Inc.","The Village Pub","235 W. Broadway","Bradley","IL","60915","Kankakee","120704420","Establishment","09/19/2013",
"Craft Beer Bar, LLC","Craft Beer Bar","430 East Monroe","Springfield","IL","62701","Sangamon","140702658","Establishment","08/21/2014",
"Craig Genisio, Inc.","Genisio's","249 N. Division","Woodhull","IL","61490","Henry","120700532","Establishment","10/24/2013",
"CRANE INVESTMENT HOLDINGS II, LLC","BLUE LINE BAR & GRILL","801 Wesemann Drive","West Dundee","IL","60118","Kane","140704071","Establishment","04/23/2015",
"CRANE INVESTMENT HOLDINGS II, LLC","BLUE LINE BAR & GRILL","475 S. Grace Street","Addison","IL","60101","Dupage","140704084","Establishment","03/26/2015",
"Crawdaddys Inc.","Crawdaddys","121 West Main","Mount Olive","IL","62069","Macoupin","120708301","Establishment","01/24/2013",
"Crawford Enterprises, Inc.","Pana Bowl","1306 E Jackson St","Pana","IL","62557","Christian","120704259","Establishment","04/18/2013",
"Crawford's Corner Pub, LLC","Crawford's Corner Pub","610 W. Chestnut","Bloomington","IL","61701","McLean","170701147","Establishment","06/28/2017",
"Crawford's Pizza & Pub II, Inc.","Crawford's Pizza & Pub II, Inc.","170 Debby Dr.","Mount Zion","IL","62549","Macon","150700920","Establishment","07/23/2015",
"Crawford's Pizza & Pub III, Inc.","Crawford's Pizza & Pub III, Inc.","200 S. Main St","Moweaqua","IL","62550","Shelby","160700917","Establishment","04/21/2016",
"Crawford's Pizza & Pub, Inc.","Crawford's Pizza & Pub, Inc.","535 S. Wood St.","Maroa","IL","61756","Macon","170702563","Establishment","11/16/2017",
"CRAZY FOX, LLC","THE CRAZY FOX BAR & GRILLE","104 E Main St","St. Charles","IL","60174","Kane","170701805","Establishment","09/14/2018",
"Crazy Times, Inc.","Crazy Times","1520 Glen Forest Drive","Machesney Park","IL","61115","Winnebago","120701311","Establishment","08/16/2012",
"Crazy Train Saloon & Grill LLC","Crazy Train Saloon & Grill LLC","5237 Kaskaskia Rd.","Waterloo","IL","62298","Monroe","180700558","Establishment","06/13/2018",
"CRESCENT CITY TAP LLC","CRESCENT CITY TAP LLC","336 FRONT ST","GALVA","IL","61434","Henry","170701470","Establishment","06/28/2017",
"Crescent Lounge, Inc.","LaVilla Vasquez","118 N. Bloomington Street","Streator","IL","61364","La Salle","120706984","Establishment","06/20/2013",
"CRETE COUNTRY ENTERPRISES, LLC","VINTAGE OAK","1390 MAIN ST., SUITE 10","CRETE","IL","60417","Will","190700136","Establishment","06/13/2019",
"CRETE GO LO, LLC","Crete GO LO","23802 S VOLBRECHT RD","Crete","IL","60417","Will","180701836","Establishment","04/18/2019",
"Crisbertos, Corp.","Family Palace Restaurant","4751 N. Harlem Ave","Harwood Heights","IL","607064606","Cook","180703063","Establishment","12/12/2018",
"CROATIAN CULTURAL CLUB","CROATIAN CULTURAL CLUB","1503 CLEMENT STREET","JOLIET","IL","60435","Will","140700170","Establishment","03/27/2014",
"CROOKED LAKE RESORT, INC.","CROOKED LAKE RESORT","38558 N MUNN RD","LAKE VILLA","IL","60046","Lake","130705480","Establishment","12/19/2013",
"CROSS COUNTRY QCA INC.","CRABBY'S BAR AND GRILL","826 WEST 1ST AVENUE","COAL VALLEY","IL","61240","Rock Island","120700423","Establishment","05/23/2013",
"Crossroads in Ivanhoe LLC","Crossroads of Ivanhoe","20915 W. Park Ave.","Mundelein","IL","600609135","Lake","140704093","Establishment","03/26/2015",
"Crossroads Package Liquor & Bar, Inc.","Crossroads","502 N. Mine Street","Sandoval","IL","62882","Marion","120708854","Establishment","06/20/2013",
"CROSSROADS TOO, INC.","Crossroads of Wood Dale","396 West Irving Park Road","Wood Dale","IL","60191","Dupage","120708092","Establishment","05/23/2013",
"CROSSTOWN MANAGEMENT, INC.","LABEMI'S","109 N Main St","Crystal Lake","IL","60014","Mchenry","160701334","Establishment","07/20/2016",
"CROSSTOWN PUB BATAVIA, INC.","Crosstown Pub and Grill","1890 Mill St.","Batavia","IL","60510","Kane","160703972","Establishment","01/26/2017",
"CROW'S NEST BAR, INC.","Crow's Nest","633 E Lake St","Peoria ","IL","61614","Peoria","120707824","Establishment","07/18/2013",
"CROWN MART 12, INCORPORATED","CROWN MART","5851 Bond Avenue","Centreville","IL","62207","St. Clair","140700639","Establishment","03/27/2014",
"Crown Pointe Amusement, LLC","Tracy's","2635 N. Bridge Street","Yorkville","IL","60560","Kendall","130704272","Establishment","12/19/2013",
